name,lat,lng,type,region,base_lake
Lochan Buidhe,56.3103963,-4.3322235,Water,Scotland,Loch Katrine
Lochan Reoidhte,56.2004271,-4.384355,Water,Scotland,Loch Katrine
Loch Shira Lower,56.3329685,-4.9775462,Lake,Scotland,Loch Katrine
Lochan nan Corp,56.2720692,-4.329225,Water,Scotland,Loch Katrine
Loch Essan,56.4221341,-4.5755456,Water,Scotland,Loch Katrine
Loch Tinker,56.227729,-4.5087939,Water,Scotland,Loch Katrine
Lochan a Mhadaidh,56.3565964,-4.8046814,Water,Scotland,Loch Katrine
Lochan Bhe,56.4433754,-4.744238,Water,Scotland,Loch Katrine
Loch Iubhair,56.4077496,-4.5558442,Water,Scotland,Loch Katrine
Loch Kelly,56.1390641,-4.3554584,Water,Scotland,Loch Katrine
The Lochan of the Lost Sword,56.4245482,-4.6972517,Water,Scotland,Loch Katrine
Lochan Creag nan Caorann,56.3583932,-4.7505906,Water,Scotland,Loch Katrine
Lochan Duin,56.3586176,-4.728984,Water,Scotland,Loch Katrine
Lochan Fenella,56.4042961,-4.6829386,Water,Scotland,Loch Katrine
Lochan Fiarach,56.4039815,-4.6858729,Water,Scotland,Loch Katrine
Clachan Surge Pond,56.2779774,-4.9320125,Reservoir,Scotland,Loch Katrine
Lochan an Eireannaich,56.3876128,-4.4081678,Water,Scotland,Loch Katrine
Achray Water,56.228213,-4.4374335,Water,Scotland,Loch Katrine
Lochan Mhaim nan Carn,56.2318449,-4.5853044,Lake,Scotland,Loch Katrine
Lake of Menteith,56.1750434,-4.2921129,Water,Scotland,Loch Katrine
Loch Lomond,56.1560821,-4.6182139,Lake,Scotland,Loch Katrine
Loch Dochart,56.3979312,-4.5824151,Water,Scotland,Loch Katrine
Loch Katrine,56.2576103,-4.5226751,Lake,Scotland,Loch Katrine
Loch Ard,56.1807617,-4.4583044,Water,Scotland,Loch Katrine
Loch Oss,56.3886616,-4.7546147,Water,Scotland,Loch Katrine
Loch Rusky,56.2036248,-4.2320471,Water,Scotland,Loch Katrine
Loch Chon,56.2145291,-4.5471563,Lake,Scotland,Loch Katrine
Loch Voil,56.3486991,-4.4187796,Water,Scotland,Loch Katrine
Glen Finglas Reservoir,56.2527372,-4.3876721,Reservoir,Scotland,Loch Katrine
Loch Earn,56.3873387,-4.1978915,Water,Scotland,Loch Katrine
Lochan,56.2489799,-4.9389185,Water,Scotland,Loch Katrine
Angling Lake,56.2285671,-4.1911324,Water,Scotland,Loch Katrine
Loch Maragan,56.4164131,-4.5913753,Water,Scotland,Loch Katrine
Lochan a' Craoi,56.4264785,-4.608319,Lake,Scotland,Loch Katrine
Lochan Dubh,56.2905145,-4.6783807,Water,Scotland,Loch Katrine
Loch Arklet,56.2474451,-4.6220299,Water,Scotland,Loch Katrine
Loch Venachar,56.2232073,-4.3053011,Water,Scotland,Loch Katrine
Craigmaddie Reservoir,55.9513549,-4.3018321,Reservoir,Scotland,Loch Lomond
Measuring Pond,55.9545225,-4.3007717,Reservoir,Scotland,Loch Lomond
Mugdock Reservoir,55.9545101,-4.311775,Reservoir,Scotland,Loch Lomond
Tannoch Loch,55.9492588,-4.3145146,Water,Scotland,Loch Lomond
Cowdenknowes Reservoir,55.9435437,-4.7737771,Reservoir,Scotland,Loch Lomond
Greenland Reservoir No 2,55.9518861,-4.5014059,Reservoir,Scotland,Loch Lomond
Greenland Reservoir No 3,55.9484296,-4.5002521,Reservoir,Scotland,Loch Lomond
Black Linn Reservoir,55.961231,-4.4899344,Reservoir,Scotland,Loch Lomond
Greenland Reservoir No 1,55.954915,-4.4865661,Reservoir,Scotland,Loch Lomond
Loch Humphrey,55.9521965,-4.4730003,Reservoir,Scotland,Loch Lomond
Fyn Loch,55.963313,-4.4711275,Water,Scotland,Loch Lomond
Lily Loch,55.9700824,-4.447673,Water,Scotland,Loch Lomond
Greenside Reservoir,55.9482898,-4.4448713,Reservoir,Scotland,Loch Lomond
Burncrooks Reservoir,55.9815189,-4.4297037,Reservoir,Scotland,Loch Lomond
Kilmannan Reservoir,55.9726652,-4.4171709,Reservoir,Scotland,Loch Lomond
Black Loch,55.9595285,-4.4065702,Lake,Scotland,Loch Lomond
Jaw Reservoir,55.9521368,-4.4107161,Reservoir,Scotland,Loch Lomond
Lucifer's Loch,55.9613216,-4.3931575,Water,Scotland,Loch Lomond
Craigallian Loch,55.9750313,-4.347138,Water,Scotland,Loch Lomond
Carbeth Loch,55.9846022,-4.3504185,Water,Scotland,Loch Lomond
Compensation reservoir,55.9130653,-4.8022041,Reservoir,Scotland,Loch Lomond
Gryfe Reservoir No 2,55.9090248,-4.7344861,Reservoir,Scotland,Loch Lomond
Carman Reservoir,55.9739932,-4.6019344,Reservoir,Scotland,Loch Lomond
Dumbrock Loch,55.9759074,-4.324917,Water,Scotland,Loch Lomond
Deil's Craig Dam,55.9743806,-4.3103682,Reservoir,Scotland,Loch Lomond
Loch Ardinning,55.9703197,-4.2980935,Water,Scotland,Loch Lomond
Reservoir No3,55.9264799,-4.8093281,Reservoir,Scotland,Loch Lomond
Reservoir No4,55.931346,-4.8004057,Reservoir,Scotland,Loch Lomond
Reservoir No5,55.9320707,-4.7958885,Reservoir,Scotland,Loch Lomond
New Yetts Reservoir No7,55.9271144,-4.7813387,Reservoir,Scotland,Loch Lomond
Reservoir No8,55.9331538,-4.7791437,Water,Scotland,Loch Lomond
Reservoir No6,55.9305918,-4.7834015,Reservoir,Scotland,Loch Lomond
Reservoir No 1,56.0187241,-4.7204038,Reservoir,Scotland,Loch Lomond
Skating pond,56.0186202,-4.7168344,Water,Scotland,Loch Lomond
Reservoir No 2,56.0217877,-4.7211092,Reservoir,Scotland,Loch Lomond
Mill Dam,55.9795364,-4.3056031,Reservoir,Scotland,Loch Lomond
Punchbowl Dam,55.9796206,-4.3100942,Reservoir,Scotland,Loch Lomond
Lochan Ghlas Laoigh,56.0657603,-4.8606288,Lake,Scotland,Loch Lomond
Milngavie Pond,55.9445528,-4.3216725,Water,Scotland,Loch Lomond
Gauge Basin,55.9595135,-4.3146473,Reservoir,Scotland,Loch Lomond
Gauge Basin,55.9594144,-4.3141115,Reservoir,Scotland,Loch Lomond
Lindowan Reservoir,55.9949981,-4.822419,Reservoir,Scotland,Loch Lomond
Auchendores Reservoir,55.9144687,-4.632675,Reservoir,Scotland,Loch Lomond
East Dougliehill Reservoir,55.9268467,-4.6957224,Reservoir,Scotland,Loch Lomond
Bowling Basin,55.9297493,-4.4818638,Water,Scotland,Loch Lomond
River Leven,55.9543248,-4.5760567,Water,Scotland,Loch Lomond
River Leven,55.9749101,-4.5774101,Water,Scotland,Loch Lomond
River Leven,55.9651536,-4.5767355,Water,Scotland,Loch Lomond
Loch Bowie,55.9443596,-4.5233297,Water,Scotland,Loch Lomond
Gauge basin,55.9553189,-4.3021462,Reservoir,Scotland,Loch Lomond
Curra Lochain,56.1559936,-4.9689792,Water,Scotland,Loch Lomond
Garshake Reservoir,55.9562645,-4.5271752,Reservoir,Scotland,Loch Lomond
Carbeth Fishery,55.9821178,-4.3713828,Water,Scotland,Loch Lomond
Cochno Loch,55.9553849,-4.4186875,Water,Scotland,Loch Lomond
Lawfield Dam,55.891383,-4.5958455,Water,Scotland,Loch Lomond
Knocknairshill Reservoir,55.9222724,-4.7105711,Reservoir,Scotland,Loch Lomond
Town Reservoir,55.9433844,-4.7782036,Reservoir,Scotland,Loch Lomond
Overton Reservoir,55.9354131,-4.7740069,Reservoir,Scotland,Loch Lomond
Esthwaite Water,54.3589429,-2.9850625,Lake,England,Windermere
Blelham Tarn,54.3958571,-2.9785574,Water,England,Windermere
Kentmere Reservoir,54.465164,-2.8576058,Reservoir,England,Windermere
Skeggles Water,54.4231212,-2.8034577,Water,England,Windermere
Small Water,54.4825658,-2.8422694,Water,England,Windermere
Blea Water,54.4889205,-2.8523514,Water,England,Windermere
Loughrigg Tarn,54.430354,-3.0114995,Water,England,Windermere
Holehird Tarn,54.3991408,-2.912846,Water,England,Windermere
Dubbs Reservoir,54.4078541,-2.8934052,Reservoir,England,Windermere
Borrans Reservoir,54.40144,-2.8805872,Reservoir,England,Windermere
Kentmere Tarn,54.418437,-2.8410681,Lake,England,Windermere
Ghyll Pond,54.3792809,-2.7762988,Reservoir,England,Windermere
Blea Tarn,54.5173904,-3.0959809,Water,England,Windermere
Easedale Tarn,54.4691809,-3.0693504,Water,England,Windermere
Hard Tarn,54.5153113,-3.0111304,Lake,England,Windermere
Grisedale Tarn,54.4995023,-3.0068081,Water,England,Windermere
Blea Tarn,54.430238,-3.0912654,Water,England,Windermere
Brown Cove Tarn,54.5351398,-3.0170676,Water,England,Windermere
Three Dubs Tarn,54.367901,-2.9590871,Lake,England,Windermere
Wraymires tarn,54.3725673,-2.9732513,Lake,England,Windermere
Wise Een Tarn,54.3695059,-2.9711193,Water,England,Windermere
Priest Pot,54.3719941,-2.9905185,Water,England,Windermere
High Arnside Tarn,54.4011455,-3.0318296,Water,England,Windermere
Watendlath Tarn,54.5353165,-3.1217185,Water,England,Windermere
Brothers Water,54.5074802,-2.9239464,Lake,England,Windermere
Hayeswater,54.5020684,-2.8795719,Water,England,Windermere
Tarn at Leaves,54.4999935,-3.1467104,Water,England,Windermere
Styhead Tarn,54.4780837,-3.2026743,Water,England,Windermere
Siney Tarn,54.398731,-3.2922646,Water,England,Windermere
Blea Tarn,54.3978626,-3.2866494,Water,England,Windermere
Eel Tarn,54.4062316,-3.2506506,Water,England,Windermere
Stony Tarn,54.4114309,-3.2351933,Water,England,Windermere
Red Tarn,54.4236107,-3.1297915,Water,England,Windermere
Levers Water,54.3841285,-3.1114181,Water,England,Windermere
Low Water,54.3745488,-3.1177813,Water,England,Windermere
Goats Water,54.3689799,-3.1313261,Water,England,Windermere
Blind Tarn,54.360667,-3.1366203,Water,England,Windermere
Throng Moss Reservoir,54.3238083,-3.1083141,Reservoir,England,Windermere
Kelly Hall Tarn,54.3299322,-3.0953704,Water,England,Windermere
Long Moss,54.333267,-3.0913869,Water,England,Windermere
Beacon Tarn,54.3010479,-3.117081,Lake,England,Windermere
Burney Tarn,54.263642,-3.1465618,Water,England,Windermere
Alcock Tarn,54.462203,-3.0056544,Water,England,Windermere
Low Birker Tarn,54.3844467,-3.2483062,Water,England,Windermere
Holehouse Tarn,54.3344616,-3.3020256,Lake,England,Windermere
Greenburn Reservoir,54.4094554,-3.103068,Reservoir,England,Windermere
Wet Sleddale Reservoir,54.4969938,-2.6981458,Reservoir,England,Windermere
Boretree Tarn,54.2776314,-2.9928444,Water,England,Windermere
Tarnhouse Tarn,54.243856,-2.6582744,Water,England,Windermere
Lupton Reservoir,54.2522243,-2.6505788,Reservoir,England,Windermere
Terrybank Tarn,54.2363217,-2.6274084,Water,England,Windermere
Wyndhammere,54.2595908,-2.628095,Water,England,Windermere
Hood Tarn,54.2816769,-2.6603239,Water,England,Windermere
Allan Tarn,54.2952789,-3.0891953,Water,England,Windermere
Bigland Tarn,54.2378257,-2.9903025,Lake,England,Windermere
Green Hows Tarn,54.3076405,-2.9814586,Water,England,Windermere
Harrop Tarn,54.5132009,-3.0651171,Water,England,Windermere
Yew Tree Tarn,54.394294,-3.0461427,Water,England,Windermere
Grizedale Tarn,54.3405898,-3.0074187,Water,England,Windermere
Simpson Ground Reservoir,54.26898,-2.9307459,Reservoir,England,Windermere
Arnsbarrow Tarn,54.3163987,-3.061751,Water,England,Windermere
Out Dubs Tarn,54.3451259,-2.9766816,Water,England,Windermere
Lindeth Tarn,54.344767,-2.9051387,Water,England,Windermere
Ratherheath Tarn,54.3557494,-2.7951756,Water,England,Windermere
Three Tarns,54.4442498,-3.1612085,Water,England,Windermere
Three Tarns,54.443686,-3.1610371,Water,England,Windermere
Three Tarns,54.4440029,-3.1606774,Water,England,Windermere
Redcrag Tarn,54.5272214,-2.8503871,Water,England,Windermere
Tarneybank Tarn,54.2866297,-2.6324939,Lake,England,Windermere
Eskrigg Tarn,54.293998,-2.6522461,Water,England,Windermere
Potter Tarn,54.3830358,-2.7805203,Reservoir,England,Windermere
High Taggleshaw,54.3875309,-2.763102,Water,England,Windermere
MiddleTaggleshaw,54.3865188,-2.7610421,Water,England,Windermere
MiddleTaggleshaw,54.3863314,-2.7538215,Water,England,Windermere
Red Mires,54.3842209,-2.7556025,Water,England,Windermere
Hawes Water,54.1824512,-2.8014816,Water,England,Windermere
Little Hawes Water,54.1851133,-2.7987994,Water,England,Windermere
Cunswick Tarn,54.3368123,-2.78646,Water,England,Windermere
Beck Leven,54.3484577,-3.0580893,Water,England,Windermere
Juniper Tarn,54.3590747,-3.0177043,Water,England,Windermere
Pfäffikersee,47.3523523,8.7808559,Lake,Switzerland,Lake Zurich
Seeli im Laich,47.1827179,8.9632777,Water,Switzerland,Lake Zurich
Hirschlensee,47.1763884,8.977137,Lake,Switzerland,Lake Zurich
Klöntalersee,47.0278253,8.9764163,Reservoir,Switzerland,Lake Zurich
Seeweidsee,47.2568888,8.7460246,Lake,Switzerland,Lake Zurich
Lützelsee,47.2602003,8.7724774,Lake,Switzerland,Lake Zurich
Entenseeli,47.2167685,8.986035,Water,Switzerland,Lake Zurich
Horgenbergweiher,47.2428336,8.5983989,Water,Switzerland,Lake Zurich
Gattiker Weiher,47.2841319,8.552911,Water,Switzerland,Lake Zurich
Teufenbachweiher,47.1809045,8.6387675,Water,Switzerland,Lake Zurich
Wilersee,47.1710731,8.6188285,Water,Switzerland,Lake Zurich
Ringwiler Weiher,47.3117685,8.8540498,Water,Switzerland,Lake Zurich
Stöckweiher,47.3272985,8.86963,Water,Switzerland,Lake Zurich
Oberblegisee,46.9799982,9.0135538,Lake,Switzerland,Lake Zurich
Oberer Fabrikweiher,47.1271168,9.0614608,Reservoir,Switzerland,Lake Zurich
Obersee,47.086764,9.0145111,Lake,Switzerland,Lake Zurich
Tankgraben,47.105376,9.0632453,Reservoir,Switzerland,Lake Zurich
Stigelenweiher,47.2455595,8.7489367,Water,Switzerland,Lake Zurich
Chatzentobelweiher,47.239979,8.7644875,Water,Switzerland,Lake Zurich
Ausee,47.2483954,8.640779,Lake,Switzerland,Lake Zurich
Burgerweier (Fabrikweier),47.2359739,8.9657762,Water,Switzerland,Lake Zurich
Aatalweier,47.239846,8.9516202,Water,Switzerland,Lake Zurich
Reidbachweiher,47.2180289,8.6866708,Water,Switzerland,Lake Zurich
Sennweid Weiher,47.2040537,8.6760262,Water,Switzerland,Lake Zurich
Aabach-Weiher,47.2311256,8.6233064,Reservoir,Switzerland,Lake Zurich
Zellwegerweiher,47.3470185,8.7069133,Water,Switzerland,Lake Zurich
Herterweiher,47.3458096,8.7048669,Water,Switzerland,Lake Zurich
Weingartenweiher,47.1966379,8.7253149,Water,Switzerland,Lake Zurich
Chlosterweiher,47.2276227,8.5257114,Water,Switzerland,Lake Zurich
Stadtparkweiher,47.3483009,8.7136671,Water,Switzerland,Lake Zurich
Siessenweier,47.2456121,8.9341009,Water,Switzerland,Lake Zurich
Seeblisee,47.0122056,8.7881858,Lake,Switzerland,Lake Zurich
Sagiweiher,47.1963776,8.6819884,Water,Switzerland,Lake Zurich
Krebsiweiher,47.3709446,8.7910412,Water,Switzerland,Lake Zurich
Töbeliweiher,47.2815491,8.7691827,Water,Switzerland,Lake Zurich
Büchi-Weier,47.3375039,8.7288574,Water,Switzerland,Lake Zurich
Mühleweiher,47.3699407,8.7875492,Reservoir,Switzerland,Lake Zurich
Mühleweiher,47.3379642,8.6676178,Water,Switzerland,Lake Zurich
Werrikerbach,47.3614758,8.7022338,Water,Switzerland,Lake Zurich
Katzentobelbach,47.276662,8.8517118,Reservoir,Switzerland,Lake Zurich
Tobelweiher,47.3744326,8.8025088,Water,Switzerland,Lake Zurich
Müliweiher,47.2643029,8.6735729,Water,Switzerland,Lake Zurich
Giessenweiher,47.2743032,8.789318,Water,Switzerland,Lake Zurich
Zweienbachweiher,47.27355,8.6425597,Water,Switzerland,Lake Zurich
Luppmenweiher,47.3598251,8.8358069,Water,Switzerland,Lake Zurich
Hüttenweier,47.3701965,8.8161789,Water,Switzerland,Lake Zurich
Hellweiher,47.3192612,8.9072787,Water,Switzerland,Lake Zurich
Sihl,47.243293,8.5730187,Water,Switzerland,Lake Zurich
Chämmoosweiher,47.2612742,8.8282131,Water,Switzerland,Lake Zurich
Rittwegweiher,47.3791412,8.8634186,Water,Switzerland,Lake Zurich
Schönau-Weiher,47.327302,8.7884538,Water,Switzerland,Lake Zurich
Hungerseeli,47.3724226,8.7519456,Water,Switzerland,Lake Zurich
Humbelweiher,47.3540347,8.8243536,Water,Switzerland,Lake Zurich
Sägeweiher,47.3248454,8.8724823,Water,Switzerland,Lake Zurich
Moosweiher,47.2998564,8.8728326,Water,Switzerland,Lake Zurich
Wiliweiher,47.2629629,8.9302228,Water,Switzerland,Lake Zurich
Huebweiher,47.2917303,8.8579569,Water,Switzerland,Lake Zurich
Bodenholzweiher,47.2908482,8.8586033,Water,Switzerland,Lake Zurich
Webereggweiher,47.2881016,8.9350654,Water,Switzerland,Lake Zurich
Bachtelweiher,47.2957909,8.8983065,Water,Switzerland,Lake Zurich
Chlisee,47.3383331,8.777457,Lake,Switzerland,Lake Zurich
Bützlisee,47.3382698,8.7795087,Lake,Switzerland,Lake Zurich
Hellsee,47.3398277,8.779611,Lake,Switzerland,Lake Zurich
Freyenweijer,47.1859556,8.6918812,Water,Switzerland,Lake Zurich
Eichweiher,47.2609231,9.114181,Water,Switzerland,Lake Zurich
Spreitenbach Segelhafen,47.2000781,8.8537933,Water,Switzerland,Lake Zurich
Torfstichsee,47.1666725,9.0068077,Lake,Switzerland,Lake Zurich
Feuerwehrweiher,47.1237152,8.7562491,Water,Switzerland,Lake Zurich
Griensammler,47.1907814,8.8626867,Water,Switzerland,Lake Zurich
Muslen-Stausee,47.1403921,9.1351415,Reservoir,Switzerland,Lake Zurich
Sihlseeli,47.0194443,8.8647111,Water,Switzerland,Lake Zurich
Brändlinweiher,47.2371952,8.8495437,Water,Switzerland,Lake Zurich
Spaneggsee,47.0749916,9.1305806,Lake,Switzerland,Lake Zurich
Hechtteich,47.3341425,8.7899825,Water,Switzerland,Lake Zurich
Weiher Rüeggshusen,47.248873,8.8139993,Water,Switzerland,Lake Zurich
Goldseeli,47.04435,8.563384,Water,Switzerland,Lake Zurich
Bachgadeweiher,47.2231252,8.634473,Water,Switzerland,Lake Zurich
Seelisberg-Weiher,47.3177415,8.9094734,Water,Switzerland,Lake Zurich
Seelisberg-Weiher,47.3176772,8.9085155,Water,Switzerland,Lake Zurich
Chlösterli Wyer,47.1152716,8.7346247,Reservoir,Switzerland,Lake Zurich
Schwarzensee,47.7521724,13.4955217,Lake,Austria,Hallstätter See
Hinterer Gosausee,47.5024738,13.5497994,Water,Austria,Hallstätter See
Moaralmsee,47.3578047,13.7920461,Water,Austria,Hallstätter See
Hüttensee,47.3586309,13.8166698,Water,Austria,Hallstätter See
Filzsee,47.3498296,13.8005598,Water,Austria,Hallstätter See
Steirischer Bodensee,47.3722439,13.8229418,Water,Austria,Hallstätter See
Sommersbergsee,47.6192311,13.7375304,Lake,Austria,Hallstätter See
Ödensee,47.5607347,13.820391,Water,Austria,Hallstätter See
Kammersee,47.6489582,13.9434503,Lake,Austria,Hallstätter See
Dreibrüdersee,47.6781636,13.9223169,Water,Austria,Hallstätter See
Salzastausee,47.5145127,13.9382462,Water,Austria,Hallstätter See
Spiegelsee,47.3462833,13.6006156,Water,Austria,Hallstätter See
Ahornsee,47.4667892,13.7824991,Water,Austria,Hallstätter See
Kreidensee,47.6214145,13.6646767,Water,Austria,Hallstätter See
Enns,47.4530874,13.9608367,Water,Austria,Hallstätter See
Enns,47.4372125,13.9270691,Water,Austria,Hallstätter See
Enns,47.4279211,13.8947209,Water,Austria,Hallstätter See
Egelsee,47.5778013,13.3395678,Lake,Austria,Hallstätter See
Däumelsee,47.5193427,13.7025302,Water,Austria,Hallstätter See
Badesee,47.5911327,13.4665523,Water,Austria,Hallstätter See
Traun,47.7773351,13.7242557,Water,Austria,Hallstätter See
Speicherteich WM-Stadion,47.4181468,13.6515198,Reservoir,Austria,Hallstätter See
Augstsee,47.6636815,13.7862238,Water,Austria,Hallstätter See
Kressl,47.5745304,13.5253225,Lake,Austria,Hallstätter See
Silberkarsee,47.4577679,13.7061774,Water,Austria,Hallstätter See
Speicherteich Alpenhof,47.3780517,13.631744,Reservoir,Austria,Hallstätter See
Fischzucht Fischerei Ausseerland,47.5725828,13.8385537,Water,Austria,Hallstätter See
Altausseer See,47.6419385,13.78432,Lake,Austria,Hallstätter See
Egellacke,47.7007921,13.6216359,Water,Austria,Hallstätter See
Vorderer Gosausee,47.5277284,13.5068943,Water,Austria,Hallstätter See
Stadtteich Radstadt,47.3851435,13.4607517,Water,Austria,Hallstätter See
Speicherteich Bruckmoos,47.378083,13.7173963,Reservoir,Austria,Hallstätter See
Speicherteich Braunhofer,47.3783896,13.6661123,Reservoir,Austria,Hallstätter See
Badesee Pichl,47.3875732,13.6132658,Lake,Austria,Hallstätter See
Ameisensee,47.5538439,13.4622442,Water,Austria,Hallstätter See
Altausseer Traun,47.6206479,13.773106,Water,Austria,Hallstätter See
Vereinigte Traun,47.6054506,13.7845056,Water,Austria,Hallstätter See
Gipsteich,47.5579873,13.9603549,Water,Austria,Hallstätter See
Augstwiessee,47.6767265,13.8278157,Water,Austria,Hallstätter See
Schwarze Lacke,47.4493762,13.50395,Water,Austria,Hallstätter See
Schwarze Lacken,47.4586782,13.4341926,Water,Austria,Hallstätter See
Ostersee,47.6496666,13.7991198,Lake,Austria,Hallstätter See
Hochmoos I,47.7533492,13.6528221,Lake,Austria,Hallstätter See
Hochmoos II,47.7515097,13.6523828,Lake,Austria,Hallstätter See
Maisenbergseelein,47.5004447,13.7302805,Water,Austria,Hallstätter See
Maisenbergseelein,47.500402,13.7296302,Water,Austria,Hallstätter See
Wehrhoferteich,47.3260286,13.68776,Water,Austria,Hallstätter See
Fischerei Ausseerland Fischzucht,47.5716206,13.8391152,Water,Austria,Hallstätter See
Fischerei Ausseerland Fischzucht,47.5710725,13.8393049,Water,Austria,Hallstätter See
Speicherteich Dürrenbach-Gföhl,47.3667178,13.7559804,Reservoir,Austria,Hallstätter See
Speicherteich,47.3794874,13.7788714,Reservoir,Austria,Hallstätter See
Untersee,47.3508204,13.5988868,Water,Austria,Hallstätter See
Obersee,47.3433086,13.6020116,Water,Austria,Hallstätter See
Waldsee,47.3526946,13.598847,Water,Austria,Hallstätter See
Reiteralmsee,47.3584284,13.5953241,Reservoir,Austria,Hallstätter See
Unterer Eissee,47.4975496,13.6381827,Water,Austria,Hallstätter See
Kainischtraun,47.5868015,13.8050419,Water,Austria,Hallstätter See
Grüne Lacke,47.5317595,13.8233259,Water,Austria,Hallstätter See
Ischl,47.717596,13.5263438,Water,Austria,Hallstätter See
Grundlseer Traun,47.6144156,13.8042503,Water,Austria,Hallstätter See
Almsee,47.4785354,13.5336708,Water,Austria,Hallstätter See
Ischl,47.7202453,13.5037274,Water,Austria,Hallstätter See
Oberer Eissee,47.4937569,13.6253041,Lake,Austria,Hallstätter See
Oberer Eissee,47.4951581,13.6266208,Lake,Austria,Hallstätter See
Oberer Eissee,47.495581,13.6248308,Lake,Austria,Hallstätter See
Beschneiungsteich,47.5678827,13.4900667,Reservoir,Austria,Hallstätter See
Miesbodensee,47.4908811,13.8734646,Water,Austria,Hallstätter See
Stiegerteich,47.5580072,13.8657218,Water,Austria,Hallstätter See
Henar-See,47.694834,13.8815502,Lake,Austria,Hallstätter See
Speicherteich,47.3650375,13.77363,Reservoir,Austria,Hallstätter See
Seekarsee,47.5376717,13.5467092,Lake,Austria,Hallstätter See
Hirzkarseelein,47.5111108,13.694557,Water,Austria,Hallstätter See
Löckersee,47.5544163,13.5458428,Water,Austria,Hallstätter See
Finitz See,47.5336535,13.7979101,Water,Austria,Hallstätter See
Grafenbergsee,47.4672054,13.7666243,Lake,Austria,Hallstätter See
Schwarzer See,47.5299559,13.8186268,Water,Austria,Hallstätter See
Karsee,47.5316828,13.8148726,Water,Austria,Hallstätter See
Forellenteich,47.4258259,13.6148808,Water,Austria,Hallstätter See
Rote Lacke,47.6695144,13.883558,Water,Austria,Hallstätter See
Grundlseer Traun,47.6209078,13.8262193,Water,Austria,Hallstätter See
Kládler-tó,47.6946259,16.6951485,Water,Austria_Hungary,Neusiedler See
Herlaki-tó,47.6874221,16.7136111,Water,Austria_Hungary,Neusiedler See
Fischteich,47.7658445,16.5207661,Water,Austria_Hungary,Neusiedler See
Nagy-Tómalom,47.7167389,16.6254365,Water,Austria_Hungary,Neusiedler See
Kis-Tómalom,47.7102016,16.6248733,Water,Austria_Hungary,Neusiedler See
Fehér-úti-tó,47.6753952,16.4880331,Water,Austria_Hungary,Neusiedler See
Béka-tó,47.6607054,16.5861736,Water,Austria_Hungary,Neusiedler See
Kiesgrube,47.8265609,16.8702735,Water,Austria_Hungary,Neusiedler See
Sandgrube,47.7822081,16.8479258,Water,Austria_Hungary,Neusiedler See
Sandgrube,47.78154,16.8481177,Water,Austria_Hungary,Neusiedler See
Badesee Apetlon,47.7846191,16.8376173,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7383837,16.8471193,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7380921,16.8464071,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7366661,16.8486393,Water,Austria_Hungary,Neusiedler See
Münzenrieder-Weiher,47.7337246,16.8496419,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7382289,16.8466985,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.736282,16.8498569,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7375243,16.8482693,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7371063,16.8475005,Water,Austria_Hungary,Neusiedler See
Fischzucht,47.7358369,16.849184,Water,Austria_Hungary,Neusiedler See
Weiheranlage ND-3519,47.7455593,16.8248843,Water,Austria_Hungary,Neusiedler See
Madárerdő halastó,47.7101861,17.1105118,Water,Austria_Hungary,Neusiedler See
Fischteich,47.7123268,17.0502902,Water,Austria_Hungary,Neusiedler See
Kiesgrube,47.8284223,16.8560856,Water,Austria_Hungary,Neusiedler See
Kiesgrube,47.8258702,16.8580787,Water,Austria_Hungary,Neusiedler See
Kiesgrube,47.8297945,16.8575618,Water,Austria_Hungary,Neusiedler See
Kiesgrube,47.8273167,16.859842,Water,Austria_Hungary,Neusiedler See
Ibolya-tó,47.6938909,16.5798139,Lake,Austria_Hungary,Neusiedler See
Király-tó,47.6891813,17.0934489,Water,Austria_Hungary,Neusiedler See
Szalamandra tó,47.667196,16.5436593,Lake,Austria_Hungary,Neusiedler See
Cigány-tó,47.5845879,16.980284,Water,Austria_Hungary,Neusiedler See
Kis-Kládler-tó,47.6952566,16.6990285,Water,Austria_Hungary,Neusiedler See
Váti-tó,47.5918855,17.0303642,Water,Austria_Hungary,Neusiedler See
Berek Horgászpark 2,47.5569531,17.0144216,Reservoir,Austria_Hungary,Neusiedler See
Bereki Horgásztavak,47.5596766,17.0092657,Reservoir,Austria_Hungary,Neusiedler See
Bereki Horgásztavak,47.554992,17.0122107,Reservoir,Austria_Hungary,Neusiedler See
Weekend Horgásztó,47.6349115,17.0178222,Water,Austria_Hungary,Neusiedler See
Pergersee,47.8260348,16.5771314,Water,Austria_Hungary,Neusiedler See
Esterhazysee,47.8291257,16.5827678,Lake,Austria_Hungary,Neusiedler See
Hermesi-tó,47.6555406,16.476376,Water,Austria_Hungary,Neusiedler See
Baggersee,47.8416421,16.9596898,Water,Austria_Hungary,Neusiedler See
Bereki Horgásztavak,47.5546125,17.0160114,Reservoir,Austria_Hungary,Neusiedler See
